"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"312","#Today , jgn lupa temu janji kita ye <ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>

#AydaJebat #AJ #Nisha #RedzaRosli #RR #Farhan… https://t.co/Su0xuJ9mqO",FALSE,4,NA,2017-05-21 21:37:27,FALSE,NA,"866407618159542274",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","aydajebatAJL",0,FALSE,FALSE,NA,NA
"313","@cik_min69 @Ayda_Jebat @tv3malaysia tak sabar tunggu esok #KuKirimCinta #Nisha #farhan",FALSE,0,"cik_min69",2017-05-21 16:00:47,FALSE,"866321153509343232","866322889535926272","3513906674","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","norzyanalindan",1,FALSE,FALSE,NA,NA
"314","geng sape yg ramai kat sini ? sama ada #Farhan @iamredzarosli  atau #Nisha @Ayda_Jebat  ? #KuKirimCinta
#tv3",FALSE,0,NA,2017-05-21 15:37:52,FALSE,NA,"866317125970911236",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NishAydaComel",0,FALSE,FALSE,NA,NA
"315","Esok perang tweet petang bermula #KuKirimCinta #Nisha #Farhan . @Ayda_Jebat miss you nisha <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> @iamredzarosli farhan love you",FALSE,0,NA,2017-05-21 15:30:51,FALSE,NA,"866315357748830208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fina_Maulod",0,FALSE,FALSE,NA,NA
"316","Tak spai 24jam dah 
#KuKirimCinta 
#farhan 
#nisha 
#tv3malaysia
#Redzayda 
#AydaJebat 
#iamredzarosli",FALSE,1,NA,2017-05-21 14:43:44,FALSE,NA,"866303500661043202",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhana_design",0,FALSE,FALSE,NA,NA
"317","X spai 24jam dah 
#KuKirimCinta 
#farhan 
#nisha 
#tv3malaysia
#Redzayda",FALSE,3,NA,2017-05-21 14:33:23,FALSE,NA,"866300895897632769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhana_design",1,FALSE,FALSE,NA,NA
"318","Good luck ya bigboss @redzarosli &amp; baby girl @aydajebat bring character #Farhan #Nisha #RedzaRosli #AydaJebat #RedzAyda",FALSE,0,NA,2017-05-21 13:31:40,FALSE,NA,"866285363093950464",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","twin_raidah",0,FALSE,FALSE,NA,NA
"319","Okey..On mood for #Kukirimcinta sat <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
#Kukirimcinta #Farhan #Nisha #RedzaRosli #AydaJebat",FALSE,0,NA,2017-05-21 13:27:14,FALSE,NA,"866284249321689088",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","twin_raidah",0,FALSE,FALSE,NA,NA
"320","Good luck for bigboss @iamredzarosli &amp; baby gilrl @aydajebat for tomorrow #Kukirimcinta #Farhan #Nisha #AydaJebat #RedzaRosli #RedzAyda",FALSE,0,NA,2017-05-21 13:20:29,FALSE,NA,"866282551551250434",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","twin_raidah",0,FALSE,FALSE,NA,NA
"321","Jam di dinding terus berdetak aaah <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
#Kukirimcinta tomorrow..#RedzaRosli #AydaJebat #RedzAyda #Farhan #Nisha",FALSE,1,NA,2017-05-21 13:17:57,FALSE,NA,"866281911198433280",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","twin_raidah",0,FALSE,FALSE,NA,NA
"322","#KuKirimCinta 
#tv3malaysia 
#redzayda 
#farhan #nisha https://t.co/N23cgvDPou",FALSE,2,NA,2017-05-21 13:11:55,FALSE,NA,"866280394571698176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhana_design",0,FALSE,FALSE,NA,NA
"323","RT @Aydafans1: Esok last day exam.. Yahoo.. Boleh layan #KuKirimCinta  dengan aman la .. Tak sabar nak tgk #nisha n #farhan @Ayda_Jebat @ia…",FALSE,0,NA,2017-05-21 12:44:40,FALSE,NA,"866273536976994304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NurrulFatihah4",2,TRUE,FALSE,NA,NA
"324","Esok last day exam.. Yahoo.. Boleh layan #KuKirimCinta  dengan aman la .. Tak sabar nak tgk #nisha n #farhan @Ayda_Jebat @iamredzarosli",FALSE,5,NA,2017-05-21 11:46:16,FALSE,NA,"866258839053651971",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aydafans1",2,FALSE,FALSE,NA,NA
"325","RT @ShaqirWazizi: <U+23F0><U+23F0><U+23F0><U+23F0><U+23F0><U+23F0><U+23F0> Ku Kirim Cinta <U+2709> Bukan Sengaja Aku Berdusta. @Ayda_Jebat @iamredzarosli <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><U+2728>
#kukirimcinta #Nisha #Farhan https://t…",FALSE,0,NA,2017-05-21 10:53:47,FALSE,NA,"866245632729653252",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hzwanibakhtiar",4,TRUE,FALSE,NA,NA
"326","Lagi 2 hari exam lepas ni boleh lah layan #kukirimcinta @Ayda_Jebat @iamredzarosli #Nisha #Farhan",FALSE,0,NA,2017-05-21 10:11:50,FALSE,NA,"866235076228521984",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","nshafika018",0,FALSE,FALSE,NA,NA
"327","<U+23F0><U+23F0><U+23F0><U+23F0><U+23F0><U+23F0><U+23F0> Ku Kirim Cinta <U+2709> Bukan Sengaja Aku Berdusta. @Ayda_Jebat @iamredzarosli <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><U+2728>
#kukirimcinta #Nisha #Farhan https://t.co/MzImfyN0zI",FALSE,3,NA,2017-05-21 09:50:27,FALSE,NA,"866229692872900608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShaqirWazizi",4,FALSE,FALSE,NA,NA
"328","Khi, Baldia #9: Zeeshan Ahmed s/o Fareed Ahmed (Bawanwas) KK ki aaj Barsi he, Brothery se dua e maghfirat ki appeal he.
#Farhan Qadri KK",FALSE,0,NA,2017-05-21 09:26:20,FALSE,NA,"866223626080727040",NA,"<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>","apnikk_news",0,FALSE,FALSE,NA,NA
"329","We live in Unexplainable world...
Where Poor People walk miles to earn food 
And rich people walk miles to digest food...

#Farhan",FALSE,0,NA,2017-05-21 09:24:42,FALSE,NA,"866223212123869184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ImFarhan666",0,FALSE,FALSE,NA,NA
"330","@Ayda_Jebat @tv3malaysia @iamredzarosli nak nak  #Nisha #farhan #KuKirimCinta",FALSE,0,"Ayda_Jebat",2017-05-21 06:43:16,FALSE,"865841473555529728","866182587118534656","308570027","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","norzyanalindan",0,FALSE,FALSE,NA,NA
"331","RT @angah213: Terhibur je dgn keletah masing2 <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>... @Ayda_Jebat @iamredzarosli #Meloditv3 #KuKirimCinta #Nisha #Farhan https://t.co/biSdUk2b…",FALSE,0,NA,2017-05-21 05:47:32,FALSE,NA,"866168561701593088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jefrrishah26",1,TRUE,FALSE,NA,NA
"332","Terhibur je dgn keletah masing2 <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>... @Ayda_Jebat @iamredzarosli #Meloditv3 #KuKirimCinta #Nisha #Farhan https://t.co/biSdUk2b7d",FALSE,2,NA,2017-05-21 05:43:45,FALSE,NA,"866167609854537728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","angah213",1,FALSE,FALSE,NA,NA
"333","Penat gelak tau tgk @Ayda_Jebat ni kt #MelodiTV3 mula2 dia buli org, pastu dia kena buli, tp pandai mengelak. Xnak… https://t.co/dIu9Xg6Bew",FALSE,38,NA,2017-05-21 05:34:51,TRUE,NA,"866165370607947777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","khunifauti",6,FALSE,FALSE,NA,NA
"334","RT @twin_raidah: #RedzAyda #Meloditv3 #Kukirimcinta #Farhan #Nisha",FALSE,0,NA,2017-05-21 04:41:11,FALSE,NA,"866151866345766913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Azzam59225566",1,TRUE,FALSE,NA,NA
"335","RT @twin_raidah: #KuKirimCinta #KuKirimCinta #KuKirimCinta 
#redzayda #farhan #nisha #redzarosli #aydajebat https://t.co/Es1QuqjKEc",FALSE,0,NA,2017-05-21 04:40:54,FALSE,NA,"866151793973235712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Azzam59225566",16,TRUE,FALSE,NA,NA
"336","RT @Intan_Norhafiza: @ukhty_lina @iamredzarosli @ag_azmeer @Ayda_Jebat @fahadiman93 @EDtv_zahidi @MdmTwister @JuneEcha Hensemnya #Farhan #K…",FALSE,0,NA,2017-05-21 04:40:01,FALSE,NA,"866151569087053825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ukhty_lina",1,TRUE,FALSE,NA,NA
"337","@ukhty_lina @iamredzarosli @ag_azmeer @Ayda_Jebat @fahadiman93 @EDtv_zahidi @MdmTwister @JuneEcha Hensemnya #Farhan #KuKirimCinta",FALSE,1,"ukhty_lina",2017-05-21 04:39:47,FALSE,"866150353191841792","866151513927761920","1688428562","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Intan_Norhafiza",1,FALSE,FALSE,NA,NA
"338","RT @dhana_design: #KuKirimCinta #farhan #nisha #redzayda #tv3malaysia #AydaJebat #iamredzarosli https://t.co/w1EG4ctRw3",FALSE,0,NA,2017-05-21 02:51:48,FALSE,NA,"866124336385540096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aripzuls",16,TRUE,FALSE,NA,NA
"339","'"" Teri Yaad

iLaaj-E -DiL Hä¡....!!

....!! ""Sanam""....!!

""Soch..!  Tera    Muqaam "" Kia Ho Gä....
#Farhan Jan",FALSE,0,NA,2017-05-21 02:46:58,FALSE,NA,"866123122965196800",NA,"<a href=""http://store.ovi.com/content/256340"" rel=""nofollow"">Twitter for Nokia S40</a>","PeyarKiDunya",0,FALSE,FALSE,NA,NA
"340","RT @twin_raidah: #KuKirimCinta #KuKirimCinta #KuKirimCinta 
#redzayda #farhan #nisha #redzarosli #aydajebat https://t.co/Es1QuqjKEc",FALSE,0,NA,2017-05-21 02:23:13,FALSE,NA,"866117146186719232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BteAqilah",16,TRUE,FALSE,NA,NA
"341","#RedzAyda #Meloditv3 #Kukirimcinta #Farhan #Nisha",FALSE,2,NA,2017-05-21 01:22:02,FALSE,NA,"866101745465704448",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","twin_raidah",1,FALSE,FALSE,NA,NA
"342","Jngn lupa tngk #Meloditv3 ada #RedzaRosli #Aydajebat khas utk promo #Kukirimcinta<U+2764>
#Farhan #Nisha",FALSE,1,NA,2017-05-21 01:05:02,FALSE,NA,"866097469372813313",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","twin_raidah",0,FALSE,FALSE,NA,NA
"343","#Kukirimcinta #Meloditv3 #RedzAyda #Farhan #Nisha",FALSE,1,NA,2017-05-21 01:03:28,FALSE,NA,"866097074902769664",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","twin_raidah",0,FALSE,FALSE,NA,NA
"344","RT @dhana_design: #KuKirimCinta #farhan #nisha #redzayda #tv3malaysia #AydaJebat  #iamredzarosli https://t.co/aumcrhiM11",FALSE,0,NA,2017-05-21 00:06:41,FALSE,NA,"866082783784980480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sue_shel",12,TRUE,FALSE,NA,NA
"345","RT @twin_raidah: #KuKirimCinta #KuKirimCinta #KuKirimCinta 
#redzayda #farhan #nisha #redzarosli #aydajebat https://t.co/Es1QuqjKEc",FALSE,0,NA,2017-05-20 23:54:00,FALSE,NA,"866079594218086400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","comelsu99",16,TRUE,FALSE,NA,NA
"346","RT @twin_raidah: Amboi #Farhan helmet depan muka #Nisha tu<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#KuKirimCinta #RedzaRosli #AydaJebat #RedzAyda https://t.co/048jBpTekG",FALSE,0,NA,2017-05-20 23:53:57,FALSE,NA,"866079580116852736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","comelsu99",12,TRUE,FALSE,NA,NA
"347","RT @dhana_design: #KuKirimCinta #farhan #nisha #redzayda #tv3malaysia #AydaJebat #iamredzarosli https://t.co/w1EG4ctRw3",FALSE,0,NA,2017-05-20 23:53:55,FALSE,NA,"866079570323165185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","comelsu99",16,TRUE,FALSE,NA,NA
"348","RT @dhana_design: #KuKirimCinta #farhan #nisha #redzayda #tv3malaysia #AydaJebat  #iamredzarosli https://t.co/aumcrhiM11",FALSE,0,NA,2017-05-20 23:53:52,FALSE,NA,"866079560994914304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","comelsu99",12,TRUE,FALSE,NA,NA
"349","RT @twin_raidah: #KuKirimCinta #KuKirimCinta #KuKirimCinta 
#redzayda #farhan #nisha #redzarosli #aydajebat https://t.co/Es1QuqjKEc",FALSE,0,NA,2017-05-20 23:17:36,FALSE,NA,"866070434172739584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NishAydaComel",16,TRUE,FALSE,NA,NA
"350","RT @twin_raidah: Amboi #Farhan helmet depan muka #Nisha tu<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#KuKirimCinta #RedzaRosli #AydaJebat #RedzAyda https://t.co/048jBpTekG",FALSE,0,NA,2017-05-20 23:17:33,FALSE,NA,"866070420033646592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NishAydaComel",12,TRUE,FALSE,NA,NA
"351","RT @dhana_design: #KuKirimCinta #farhan #nisha #redzayda #tv3malaysia #AydaJebat #iamredzarosli https://t.co/w1EG4ctRw3",FALSE,0,NA,2017-05-20 23:17:29,FALSE,NA,"866070403088699393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NishAydaComel",16,TRUE,FALSE,NA,NA
"352","RT @dhana_design: #KuKirimCinta #farhan #nisha #redzayda #tv3malaysia #AydaJebat  #iamredzarosli https://t.co/aumcrhiM11",FALSE,0,NA,2017-05-20 23:17:25,FALSE,NA,"866070386269601794",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NishAydaComel",12,TRUE,FALSE,NA,NA
